id,name,brewery_type,address_1,city,state_province,postal_code,country,longitude,latitude,phone,website_url,state,street
id_0,Brewery_0,,Address_0,CityA,StateB,ABCDE,US,24.501232,not_a_number,555-1234,http://example0.com,INVALID,Street_0
id_1,Brewery_1,,Address_1,CityB,StateB,ABCDE,US,,not_a_number,,,CA,Street_1
id_2,Brewery_2,,Address_2,CityA,INVALID,12345,US,ERROR,65.212914,999999999999,,INVALID,Street_2
id_3,Brewery_3,micro,Address_3,CityA,INVALID,ABCDE,US,-106.651413,,555-1234,http://example3.com,INVALID,Street_3
id_4,Brewery_4,nano,Address_4,,INVALID,12345,US,ERROR,-27.883247,999999999999,http://example4.com,CA,Street_4
id_5,Brewery_5,nano,Address_5,,,ABCDE,US,ERROR,not_a_number,,http://example5.com,INVALID,Street_5
id_6,Brewery_6,regional,Address_6,,StateA,,US,,,,http://example6.com,CA,Street_6
id_7,Brewery_7,nano,Address_7,CityB,INVALID,ABCDE,US,ERROR,not_a_number,555-1234,http://example7.com,California,Street_7
id_8,Brewery_8,micro,Address_8,,INVALID,,US,145.137167,not_a_number,,,,Street_8
id_9,Brewery_9,nano,Address_9,,StateA,,US,,,INVALID,,CA,Street_9
id_8,Brewery_8,micro,Address_8,,INVALID,,US,145.137167,not_a_number,,,,Street_8
id_1,Brewery_1,,Address_1,CityB,StateB,ABCDE,US,,not_a_number,,,CA,Street_1
